City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Worland,US,44.0169,-107.9554,51.6,86,100,21.85,light rain
109,Severo-Kurilsk,RU,50.6789,156.125,42.24,88,85,1.57,overcast clouds
110,Bytca,SK,49.224,18.5588,55.58,66,0,1.99,clear sky
111,Qasigiannguit,GL,68.8193,-51.1922,39.45,83,65,3.74,broken clouds
112,Goderich,CA,43.7501,-81.7165,65.08,79,100,15.17,overcast clouds
113,Chuy,UY,-33.6971,-53.4616,47.84,67,28,14.16,scattered clouds
114,Kavieng,PG,-2.5744,150.7967,81.55,73,100,11.83,overcast clouds
115,Codajas,BR,-3.8367,-62.0569,77.9,95,99,2.98,overcast clouds
116,Pouembout,NC,-21.1333,164.9,71.13,86,93,3.74,overcast clouds
117,Kuningan,ID,-6.9758,108.4831,69.39,94,26,1.99,scattered clouds
118,Onguday,RU,50.75,86.15,54.68,76,100,3.31,overcast clouds
119,Svetlyy,RU,54.675,20.1347,50.05,92,100,5.19,overcast clouds
120,Ambilobe,MG,-13.2,49.05,68.56,83,2,3.65,clear sky
121,Viedma,AR,-40.8135,-62.9967,47.19,56,55,12.91,broken clouds
122,La Ronge,CA,55.1001,-105.2842,53.82,71,100,19.57,overcast clouds
123,Surt,LY,31.2089,16.5887,78.06,47,58,15.75,broken clouds
124,Panaba,MX,21.2833,-88.2667,85.46,60,100,20.92,overcast clouds
125,Westport,US,41.1415,-73.3579,91.44,52,28,4.0,scattered clouds
126,Lebu,CL,-37.6167,-73.65,47.86,64,0,12.33,clear sky
127,Bulgan,MN,48.8125,103.5347,44.26,82,10,2.95,clear sky
128,Esmeraldas,BR,-19.7625,-44.3139,74.37,41,0,3.11,clear sky
129,Honiara,SB,-9.4333,159.95,77.63,85,84,4.16,broken clouds
130,Shimsk,RU,58.212,30.7127,56.16,70,100,8.57,overcast clouds
131,Leona Vicario,MX,20.9667,-87.1917,78.67,96,99,7.05,overcast clouds
132,Carutapera,BR,-1.195,-46.02,81.79,79,8,7.52,light rain
133,Ilulissat,GL,69.2167,-51.1,39.22,70,40,8.05,scattered clouds
134,Port Macquarie,AU,-31.4333,152.9167,57.88,58,48,15.9,scattered clouds
135,Namibe,AO,-15.1961,12.1522,67.93,74,0,7.18,clear sky
