City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Sao Jose Da Coroa Grande,BR,2022-05-30 14:58:52,-8.8978,-35.1478,80.44,80,27,8.12
165,Kodama,JP,2022-05-30 14:58:52,36.1833,139.1333,64.92,73,100,7.34
166,San Quintin,MX,2022-05-30 14:58:53,30.4833,-115.95,61.16,78,74,8.68
167,Sistranda,NO,2022-05-30 14:58:53,63.7256,8.834,67.96,64,39,11.14
168,Gat,IL,2022-05-30 14:58:53,31.61,34.7642,90.39,41,0,13.42
169,Tuktoyaktuk,CA,2022-05-30 14:58:54,69.4541,-133.0374,30.2,93,100,4.61
170,Severo-Kurilsk,RU,2022-05-30 14:58:54,50.6789,156.125,40.42,93,43,5.44
171,Krasnyy Yar,RU,2022-05-30 14:58:54,46.5331,48.3456,84.13,22,0,12.15
172,Bengkulu,ID,2022-05-30 14:58:55,-3.8004,102.2655,77.4,88,75,5.26
173,Shelburne,CA,2022-05-30 14:57:14,44.0787,-80.2041,77.9,58,57,14.61
174,Palauig,PH,2022-05-30 14:58:55,15.435,119.9045,82.72,77,94,8.84
175,Seoul,KR,2022-05-30 14:58:55,37.5683,126.9778,64.0,70,0,4.61
176,Ulaanbaatar,MN,2022-05-30 14:54:44,47.9077,106.8832,55.53,35,75,8.95
177,Tadine,NC,2022-05-30 14:58:56,-21.55,167.8833,74.73,88,14,7.61
178,Fort Nelson,CA,2022-05-30 14:57:12,58.8053,-122.7002,49.59,81,20,2.3
179,Amga,RU,2022-05-30 14:58:56,60.8953,131.9608,47.82,90,100,5.7
180,Deputatskiy,RU,2022-05-30 14:58:57,69.3,139.9,33.04,92,100,3.44
181,Chimbote,PE,2022-05-30 14:58:57,-9.0853,-78.5783,65.52,76,97,7.27
182,Ponerihouen,NC,2022-05-30 14:58:57,-21.0833,165.4,72.46,83,15,1.79
183,Zhigansk,RU,2022-05-30 14:58:58,66.7697,123.3711,38.23,79,100,13.96
184,Lancut,PL,2022-05-30 14:59:58,50.0687,22.2291,65.86,43,0,17.27
185,Xining,CN,2022-05-30 14:59:59,36.6167,101.7667,55.62,50,77,2.17
186,Jurm,AF,2022-05-30 14:59:59,36.8648,70.8342,63.28,46,26,5.23
187,Dingle,PH,2022-05-30 14:59:59,10.9995,122.6711,77.0,83,100,2.24
188,Pingdingshan,CN,2022-05-30 15:00:00,33.7385,113.3012,76.21,18,23,3.13
189,Araouane,ML,2022-05-30 15:00:00,18.9048,-3.5265,110.8,10,68,10.89
190,Ballina,AU,2022-05-30 15:00:01,-28.8667,153.5667,59.02,60,36,22.26
191,Raga,SS,2022-05-30 15:00:02,8.4596,25.678,97.23,22,80,7.54
192,Klyuchi,RU,2022-05-30 15:00:04,52.2667,79.1667,70.93,37,99,7.74
193,Pelym,RU,2022-05-30 15:00:12,61.0108,61.9978,45.95,97,100,8.41
194,Bambous Virieux,MU,2022-05-30 15:00:14,-20.3428,57.7575,71.22,65,42,16.89
195,Oriximina,BR,2022-05-30 15:00:15,-1.7656,-55.8661,82.81,78,70,1.57
196,Lebedyn,UA,2022-05-30 15:00:16,50.5852,34.4849,64.36,86,100,8.72
197,Perur,IN,2022-05-30 15:00:18,10.9667,76.9,82.09,69,40,12.66
198,Dryden,CA,2022-05-30 14:57:15,49.7833,-92.7503,61.09,94,100,4.61
199,Kavieng,PG,2022-05-30 15:00:23,-2.5744,150.7967,81.79,72,65,15.01
200,Saucillo,MX,2022-05-30 15:00:24,28.0167,-105.2833,80.1,20,3,11.72
201,Libertador General San Martin,AR,2022-05-30 15:00:25,-23.8064,-64.7876,56.97,68,96,4.32
202,Castro,BR,2022-05-30 15:00:11,-24.7911,-50.0119,67.23,81,100,8.28
203,Rumford,US,2022-05-30 15:00:19,44.5537,-70.5509,79.68,42,72,9.37
204,Barrow,US,2022-05-30 15:00:25,71.2906,-156.7887,28.42,86,100,12.66
205,Mogadishu,SO,2022-05-30 15:00:26,2.0371,45.3438,80.55,77,42,17.43
206,Namwala,ZM,2022-05-30 15:00:26,-15.7504,26.4384,75.52,26,0,4.72
207,Gazanjyk,TM,2022-05-30 15:00:27,39.2446,55.5154,89.11,11,0,17.18
208,Beira,MZ,2022-05-30 15:00:27,-19.8436,34.8389,71.96,75,0,8.28
209,Arman,RU,2022-05-30 15:00:28,59.7,150.1667,39.78,75,100,3.18
210,Sabha,LY,2022-05-30 15:00:28,27.0377,14.4283,100.38,10,61,5.73
211,Avarua,CK,2022-05-30 15:00:29,-21.2078,-159.775,75.25,73,100,13.8
212,Quatre Cocos,MU,2022-05-30 15:00:29,-20.2078,57.7625,71.1,66,22,16.75
213,Samarai,PG,2022-05-30 15:00:30,-10.6167,150.6667,78.89,75,45,5.48
214,Nador,MA,2022-05-30 15:00:30,35.174,-2.9287,75.45,50,0,13.8
215,Loreto,MX,2022-05-30 15:00:30,22.2667,-101.9667,69.75,38,8,0.81
216,Havre-Saint-Pierre,CA,2022-05-30 15:00:31,50.2334,-63.5986,43.14,83,100,6.33
217,Biel,CH,2022-05-30 15:00:31,47.1324,7.2441,72.73,38,20,3.44
218,Cayenne,GF,2022-05-30 15:00:32,4.9333,-52.3333,78.84,1,75,4.61
219,Makakilo City,US,2022-05-30 15:00:32,21.3469,-158.0858,72.68,88,1,9.53
220,Thompson,CA,2022-05-30 15:00:33,55.7435,-97.8558,44.76,100,100,8.05
221,Pevek,RU,2022-05-30 15:00:33,69.7008,170.3133,29.34,81,99,4.34
222,Banda Aceh,ID,2022-05-30 15:00:33,5.5577,95.3222,81.39,77,100,11.74
223,Victoria,HK,2022-05-30 14:56:56,22.2855,114.1577,85.32,80,100,10.0
224,Ellon,GB,2022-05-30 15:00:34,57.3641,-2.0731,51.22,64,75,6.91
225,Praia Da Vitoria,PT,2022-05-30 14:59:20,38.7333,-27.0667,61.75,94,75,32.03
226,Egvekinot,RU,2022-05-30 15:00:34,66.3167,-179.1667,30.88,89,75,2.53
227,Perevolotskiy,RU,2022-05-30 15:00:35,51.8763,54.1938,58.78,80,90,9.01
228,Progreso,MX,2022-05-30 15:00:35,21.2833,-89.6667,84.31,60,100,10.42
229,Kautokeino,NO,2022-05-30 15:00:36,69.0125,23.0412,59.97,37,4,17.07
230,Kramat,ID,2022-05-30 15:01:36,-8.1311,113.4499,75.11,88,27,3.47
231,Hilo,US,2022-05-30 15:00:30,19.7297,-155.09,75.27,89,98,5.99
232,Chuncheng,CN,2022-05-30 15:01:37,22.1731,111.7886,78.12,94,100,2.64
233,Nacala,MZ,2022-05-30 15:01:37,-14.5428,40.6728,75.04,73,22,10.02
234,Puerto Colombia,CO,2022-05-30 15:01:38,10.9878,-74.9547,86.68,68,24,2.08
235,Padang,ID,2022-05-30 15:01:38,-0.9492,100.3543,78.78,87,62,3.94
236,Cherskiy,RU,2022-05-30 15:01:38,68.75,161.3,42.33,55,100,8.01
237,Khuzdar,PK,2022-05-30 15:01:39,27.7384,66.6434,86.04,12,0,15.19
238,Shahr-E Kord,IR,2022-05-30 15:01:39,32.3256,50.8644,73.96,12,72,11.25
239,Bosaso,SO,2022-05-30 15:01:39,11.2842,49.1816,89.85,47,100,1.07
240,Den Helder,NL,2022-05-30 14:58:31,52.9599,4.7593,60.03,61,100,8.05
241,Dwarka,IN,2022-05-30 15:01:40,22.2394,68.9678,81.75,85,4,18.5
242,Marzuq,YE,2022-05-30 15:01:40,14.4,46.4667,88.65,24,83,6.31
243,Komsomolskiy,UZ,2022-05-30 15:01:41,40.4272,71.7189,72.32,35,36,6.91
244,Cap Malheureux,MU,2022-05-30 15:01:41,-19.9842,57.6142,71.47,73,2,4.0
245,Pemangkat,ID,2022-05-30 15:01:41,1.1667,108.9667,82.56,70,29,4.21
246,Petropavlovsk-Kamchatskiy,RU,2022-05-30 15:01:42,53.0452,158.6483,40.53,93,100,0.94
247,Coracora,PE,2022-05-30 15:01:42,-15.0333,-73.7833,58.35,24,17,4.27
248,Elat,IL,2022-05-30 15:01:42,29.5581,34.9482,100.65,14,0,19.89
249,Genhe,CN,2022-05-30 15:01:43,50.7833,121.5167,42.24,85,100,0.54
250,Maceio,BR,2022-05-30 15:01:43,-9.6658,-35.7353,79.7,83,31,9.91
251,Bowen,AU,2022-05-30 15:01:44,-20.0167,148.2333,70.36,88,100,7.14
