City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
332,Matadi,CD,77.52,broken clouds,-5.8167,13.45,Hotel Vivi Palace
335,Bud,US,89.92,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
339,Matara,LK,76.75,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
340,Veraval,IN,81.18,few clouds,20.9,70.3667,Lords Inn Somnath
345,Tezu,IN,75.4,clear sky,27.9167,96.1667,Circuit House
350,Mirador,BR,87.01,broken clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
353,Coro,VE,86.92,broken clouds,11.4045,-69.6734,Federal
354,Pires Do Rio,BR,79.99,clear sky,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
357,Touros,BR,80.53,few clouds,-5.1989,-35.4608,INN NEW HORIZON
360,Lodwar,KE,87.03,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
362,Gigmoto,PH,79.95,overcast clouds,13.7796,124.39,Cj's Travellers Inn
364,Vung Tau,VN,81.36,overcast clouds,10.346,107.0843,Seaside Resort
368,Buraydah,SA,88.88,clear sky,26.326,43.975,Mövenpick Qassim
374,Waspan,NI,79.61,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
375,Dedougou,BF,84.61,overcast clouds,12.4667,-3.4667,Hôtel Bon Séjour
379,Zaranj,AF,79.03,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
381,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
385,Kirakira,SB,80.04,scattered clouds,-10.4544,161.9205,SanBiz Lodge
389,Ambad,IN,84.04,overcast clouds,19.6167,75.8,"चांगले नगर, अंबड शहर"
392,Trinidad,BO,87.24,broken clouds,-14.8333,-64.9,Hotel Piesta
394,Sola,VU,81.79,broken clouds,-13.8833,167.55,Leumerus Bungalows
395,Biak,ID,76.93,broken clouds,-0.9131,122.8766,Penginapan Kim
399,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
402,Prior Lake,US,83.64,overcast clouds,44.7133,-93.4227,Mystic Lake Casino Hotel
406,Safaga,EG,87.33,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
407,Yenagoa,NG,75.81,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
412,Hue,VN,80.71,few clouds,16.4667,107.6,Saigon Morin Hotel
414,Salinopolis,BR,81.61,heavy intensity rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
417,Amarkantak,IN,76.26,broken clouds,22.6667,81.75,STARiHOTELS Amarkantak Madhya Pradesh
418,Lorengau,PG,78.84,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
426,Chalisgaon,IN,85.06,clear sky,20.4667,75.0167,Shree Datta
433,Lahaina,US,87.8,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
438,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
439,Kailua,US,82.38,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
446,Winton,US,78.82,clear sky,37.3894,-120.6133,Applegate Inn
452,Seydi,TM,76.14,clear sky,39.4816,62.9137,Seydi oteli
454,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
459,Conceicao Do Araguaia,BR,88.93,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
464,Tautira,PF,78.76,broken clouds,-17.7333,-149.15,Pension Oaoa
465,Hami,CN,81.18,clear sky,42.8,93.45,Laoyutang Resort
466,Quepos,CR,82.13,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
468,Maruim,BR,76.96,scattered clouds,-10.7375,-37.0817,Pousada Acauã Do Posto Br
478,Wajid,SO,78.13,overcast clouds,3.8093,43.2471,xamdihotelresturant114
480,Sumenep,ID,78.19,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
482,Maunabo,PR,88.65,few clouds,18.0072,-65.8993,Maunacaribe
483,San Pedro De Uraba,CO,83.97,overcast clouds,8.2752,-76.3764,Hotel La Gran Manzana
484,Guarumal,PA,84.29,scattered clouds,8.35,-82.5333,Grama la martina
485,Brigantine,US,84.2,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
487,Hurghada,EG,87.4,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
494,Brewster,US,89.6,clear sky,41.3973,-73.6171,Heidi's Inn
497,Monywa,MM,86.4,overcast clouds,22.1167,95.1333,Monywa Hotel
499,Fort Payne,US,88.72,scattered clouds,34.4442,-85.7197,"Holiday Inn Express & Suites Fort Payne, an IHG Hotel"
503,Tual,ID,82.6,light rain,-5.6667,132.75,Grand Vilia Hotel
504,Dzilam Gonzalez,MX,86.32,overcast clouds,21.2833,-88.9333,posadas
505,Idah,NG,79.32,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
507,La Crosse,US,87.78,clear sky,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
510,Kutum,SD,82.4,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
514,Lazaro Cardenas,MX,85.24,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
516,Zhanaozen,KZ,78.64,clear sky,43.3,52.8,K.korabay 28A
517,Malakal,SS,86.09,few clouds,9.5334,31.6605,Nile Palace Hotel
527,Banda Aceh,ID,80.62,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
532,Gudur,IN,89.58,overcast clouds,14.1333,79.85,BALAJI KITCHENS
533,Tomatlan,MX,87.8,scattered clouds,19.9333,-105.25,El Salvial
541,Boundiali,CI,83.61,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
545,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
548,Rockland,US,88.97,broken clouds,41.1668,-74.0496,National Camp Association
551,Itarema,BR,79.2,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
563,Gushikawa,JP,76.62,light rain,26.3544,127.8686,Kirari Guest House
567,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
568,Ewa Beach,US,82.35,broken clouds,21.3156,-158.0072,Base Lodging
569,Suluq,LY,76.3,few clouds,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
575,Acarau,BR,79.86,broken clouds,-2.8856,-40.12,castelo pizzaria
580,Do Gonbadan,IR,84.29,clear sky,30.3586,50.7981,مسافرخانه شادی
581,Nago,JP,77.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
584,San Ramon,US,79.95,clear sky,37.7799,-121.978,San Ramon Marriott
585,Lingao,CN,78.67,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
586,Meulaboh,ID,75.83,scattered clouds,4.1363,96.1285,Kost Pria
588,Santa Luzia,BR,80.74,clear sky,-19.7697,-43.8514,Pousada Chao Earth
598,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
599,San Jose De Guanipa,VE,88.21,overcast clouds,8.8872,-64.1651,HOTEL 283 SUITES
603,Mastic Beach,US,84.18,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
604,Panji,ID,75.58,clear sky,-7.7253,114.0995,Rumah eni
605,Kralendijk,BQ,84.18,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
607,Prainha,BR,79.54,broken clouds,-1.8,-53.48,Casa Rocha
609,Labuhan,ID,78.94,clear sky,-6.8844,112.2051,DoubleFAG
610,Bubaque,GW,80.19,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
612,Sao Jose Da Coroa Grande,BR,78.13,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
621,Pak Phanang,TH,78.01,overcast clouds,8.3511,100.202,Green Park Inn Hotel
625,Sechura,PE,75.16,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
627,Soure,BR,80.4,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
628,Turayf,SA,82.65,clear sky,31.6725,38.6637,Turaif
634,Mandera,KE,82.31,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
637,Puerto Colombia,CO,83.53,few clouds,10.9878,-74.9547,Hotel El Emigrante
638,Roma,US,86.83,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
641,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
642,Leticia,CO,80.65,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
645,Abu Zabad,SD,88.41,broken clouds,12.35,29.25,حامد محمد نور
652,Pathein,MM,79.97,overcast clouds,16.7833,94.7333,Pathein Hotel
655,Nabire,ID,75.94,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
656,Makat,KZ,79.56,clear sky,47.6469,53.3463,Umit
667,Teknaf,BD,79.74,few clouds,20.8624,92.3058,Forestry Guesthouse
668,Linhares,BR,77.61,clear sky,-19.3911,-40.0722,Hotel Conceição
674,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
676,Maragogi,BR,78.13,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
689,Paragominas,BR,80.6,broken clouds,-2.9667,-47.4833,INOVA
701,Franklin,US,89.65,few clouds,39.9667,-83.0166,Courtyard by Marriott Columbus Downtown
702,Prata,BR,80.8,clear sky,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
705,Dubai,AE,86.25,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
707,Miranda,CO,77.13,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
709,Garissa,KE,76.28,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
711,Udankudi,IN,81.43,overcast clouds,8.4333,78.0167,"SRI ANANDHI TRADERS,UDANGUDI"
